time,approved,failed,denied,reversed,refunded,processing,backend_reversed
16h 13,44,,5,20,,4,4
16h 28,6,,5,23,,22,6
17h 27,102,,5,17,8,14,4
17h 44,29,,5,14,1,5,3
17h 51,11,,5,6,2,7,2
18h 25,28,,5,7,1,1,4
22h 02,71,,5,1,,,
22h 24,60,,5,,,,
22h 56,56,,5,,,,
22h 59,59,,5,,1,,
23h 08,46,,5,,,,
23h 13,43,,5,,,,
23h 20,29,,5,,1,,
23h 22,35,,5,,,,
23h 30,27,,5,,,,
23h 35,21,,5,1,,,
23h 36,32,,5,,,,
23h 42,25,,5,,,,
23h 45,28,,5,,1,,
00h 00,9,,6,,1,,
06h 44,40,,6,,,,
07h 02,70,,6,,,,
07h 03,73,,6,,,,
07h 08,75,,6,,,,
07h 12,57,,6,,,,
07h 19,69,,6,,,,
07h 20,66,,6,1,,,
07h 23,86,,6,,,,
07h 24,89,,6,1,,,
07h 45,102,,6,1,1,,
07h 46,108,,6,1,,,
17h 40,49,,6,11,,6,5
18h 11,41,,6,19,,6,3
22h 01,87,,6,,1,,
22h 19,68,,6,1,,,
22h 26,69,,6,1,,,
22h 28,71,,6,,,,
22h 30,62,,6,,,,
22h 33,67,,6,1,,,
23h 05,42,,6,,,,
23h 07,51,,6,1,,,
23h 18,25,,6,,,,
23h 21,52,,6,2,,,
23h 25,34,,6,,,,
23h 28,26,,6,,,,
23h 54,43,,6,,,,
00h 02,11,,7,,1,,
06h 43,41,,7,,,,1
06h 45,53,,7,,,,
06h 47,53,,7,1,,,
06h 49,39,,7,,,,
06h 51,53,,7,,,,
06h 53,48,,7,,1,,
07h 09,65,,7,,,,
07h 27,88,,7,,,,1
07h 31,92,,7,1,,,
07h 32,75,,7,,,,
17h 35,38,,7,20,,6,2
17h 42,55,,7,28,,2,7
18h 35,113,,7,23,,,
19h 55,169,,7,,,,
21h 13,103,,7,1,,,1
21h 41,85,,7,2,1,,
21h 58,86,,7,1,1,,
22h 25,61,,7,1,1,,1
22h 37,60,,7,,,,
22h 40,66,,7,,,,
22h 50,39,,7,,,,
23h 09,29,,7,2,,,
23h 19,30,,7,,,,
23h 29,37,,7,,,,
23h 38,24,,7,,,,
23h 43,30,,7,,,,
00h 01,13,,8,,,,
06h 31,38,,8,,,,
07h 04,59,,8,1,,,
07h 05,74,,8,1,,,
07h 26,79,,8,,,,1
07h 28,71,,8,1,,,
07h 33,94,,8,,,,
07h 39,124,,8,1,,,
07h 43,91,,8,,,,
07h 59,120,,8,,,,
08h 00,127,,8,,1,,
14h 37,48,,8,61,,11,4
17h 09,52,,8,46,,6,4
18h 05,60,,8,42,1,6,12
21h 23,117,,8,1,,,
21h 59,98,,8,,,,
22h 22,79,,8,,,,
22h 23,60,,8,3,,,
22h 29,68,,8,1,,,
22h 35,64,,8,1,,,
22h 38,61,,8,,1,,
22h 42,53,,8,,,,
22h 48,43,,8,,,,1
22h 49,55,,8,,,,
23h 06,44,,8,,,,
23h 14,37,1,8,,,,
07h 00,70,,9,,,,
07h 36,92,,9,,,,1
07h 38,95,,9,,,,2
07h 41,84,,9,,1,,
07h 56,136,,9,1,,,
08h 01,124,,9,,,,
17h 03,30,,9,35,1,6,6
17h 08,84,,9,5,1,5,1
18h 16,59,,9,38,,3,7
20h 38,122,,9,,1,,
21h 32,108,,9,1,,,
22h 20,83,,9,,,,
22h 34,48,,9,,1,,
22h 39,54,,9,,,,
22h 43,62,,9,,,,
22h 57,46,,9,,1,,
23h 00,53,,9,,,,
23h 01,44,,9,,,,
23h 15,36,,9,,,,
23h 16,40,,9,,,,
23h 33,21,,9,,,,
07h 06,63,,10,1,1,,
07h 16,63,,10,,,,
07h 17,74,,10,1,,,1
07h 29,81,,10,1,,,1
07h 30,91,,10,,,,1
07h 35,77,,10,,,,
07h 40,91,,10,,,,
07h 44,113,,10,,,,1
07h 47,110,,10,,,,
07h 48,104,,10,,2,,1
16h 04,58,,10,32,2,2,6
21h 42,98,,10,1,1,,1
21h 45,103,,10,1,,,1
22h 00,86,,10,,,,
22h 03,101,,10,,,,
22h 05,75,,10,,,,
22h 06,91,,10,,,,
22h 18,56,,10,,1,,
22h 45,64,,10,1,,,
23h 27,20,,10,1,,,
07h 10,66,,11,1,,,
08h 05,116,,11,3,,,2
14h 31,125,,11,,,5,2
15h 18,52,1,11,11,,6,
15h 59,35,,11,41,1,,
16h 07,19,,11,39,,1,3
16h 15,38,,11,30,2,5,9
17h 58,49,,11,28,,2,3
18h 27,16,,11,10,,2,4
19h 45,156,,11,,1,,
20h 33,130,,11,2,,,
21h 12,104,,11,1,,,1
21h 47,76,,11,2,,,
21h 51,79,,11,,,,
22h 08,75,,11,,1,,
22h 09,86,,11,,1,,
22h 15,81,,11,,,,
22h 16,70,,11,,,,
22h 41,66,,11,,,,
22h 44,57,,11,,,,
22h 53,49,,11,,,,
22h 55,50,,11,1,,,
22h 58,48,,11,1,,,
23h 02,54,,11,,,,
07h 42,110,,12,,,,
07h 55,119,,12,,,,
08h 11,137,,12,,,,
08h 15,176,,12,,,,2
12h 48,277,,12,2,1,,
17h 19,33,,12,24,1,3,8
17h 23,118,,12,24,1,6,13
19h 44,169,,12,2,,,
20h 24,142,,12,1,,,
20h 35,142,,12,1,,,1
20h 52,136,,12,2,1,,
20h 59,125,,12,,,,
