time,approved,failed,denied,reversed,refunded,processing,backend_reversed
00h 09,3,,1,9,,5,5
00h 10,,,1,1,,5,10
00h 11,2,,1,8,,2,4
00h 18,18,,1,,,,
00h 37,12,,1,,,,
01h 40,5,,1,,,,
01h 54,,,1,,,,
01h 56,2,,1,,,,
02h 05,3,,1,,,,
02h 07,2,,1,,,,
02h 14,,,1,,,,
02h 15,4,,1,,,,
02h 37,2,,1,,,,
02h 38,,,1,,,,
02h 54,,,1,,,,
02h 58,2,,1,,,,
03h 01,,,1,,,,
03h 07,1,,1,,,,
03h 10,,,1,,,,
03h 17,1,,1,,,,
03h 18,,,1,,,,
03h 26,,,1,,,,
03h 33,2,,1,,,,
03h 34,2,,1,1,,,
03h 39,2,,1,,,,
03h 40,2,,1,,,,
03h 41,,,1,,,,
03h 52,1,,1,,,,
03h 53,1,,1,,,,
04h 03,1,,1,,,,
04h 13,1,,1,,,,
04h 28,2,,1,,,,
05h 06,2,,1,,,,
05h 07,1,,1,,,,
05h 10,,,1,,,,
05h 12,1,,1,,,,
05h 13,2,,1,,,,
05h 15,2,,1,,,,
05h 25,3,,1,,,,
05h 28,4,,1,,,,
05h 35,5,,1,,,,
05h 40,9,,1,,,,
05h 42,7,,1,,,,
05h 44,7,,1,1,,,
05h 46,7,,1,,,,
05h 55,9,,1,1,,,1
05h 57,12,,1,1,,,
05h 59,10,,1,,,,
06h 12,22,,1,,,,
06h 14,23,,1,,,,
06h 25,28,,1,,,,
06h 29,37,,1,,,,
06h 40,32,,1,,,,
06h 45,34,,1,,,,
06h 51,55,,1,1,,,
06h 56,46,,1,,,,
00h 03,6,,2,9,,4,2
00h 07,11,,2,3,,1,2
00h 16,10,,2,3,1,,
00h 17,13,,2,6,1,,
00h 29,16,,2,,,,
00h 33,8,,2,,,,
00h 34,11,,2,,,,
00h 36,7,,2,1,,,
03h 03,3,,2,,,,
03h 09,,,2,,,,
03h 24,,,2,,,,
03h 42,2,,2,,,,
03h 50,3,,2,1,,,
05h 27,2,,2,,,,
05h 32,3,,2,,,,
05h 36,5,,2,,1,,
05h 37,12,,2,,,,
05h 45,4,,2,,,,
05h 48,5,,2,,,,
05h 49,10,,2,1,,,1
05h 52,9,,2,,,,
05h 53,8,,2,1,,,
06h 01,7,,2,,,,1
06h 03,11,,2,1,1,,
06h 05,18,,2,,,,
06h 15,14,,2,,,,
06h 16,18,,2,,,,
06h 22,33,,2,,,,
06h 24,33,,2,,,,
06h 26,32,,2,,,,
06h 42,45,,2,1,,,1
06h 59,42,,2,,,,
23h 40,37,,2,,,,
00h 00,9,,3,7,,12,2
00h 20,11,,3,,,,
00h 25,10,,3,1,,,
00h 30,6,,3,,,,
00h 31,10,,3,,,,
00h 38,3,,3,,,,
03h 43,1,,3,,,,
03h 46,,,3,,,,
05h 34,4,,3,,,,
05h 38,7,,3,,,,
05h 47,6,,3,,,,
05h 58,10,,3,,,,
06h 02,12,,3,,,,
06h 04,20,,3,,,,
06h 07,17,,3,,,,
06h 08,18,,3,,,,
06h 20,29,,3,1,,,
06h 21,25,,3,,,,
06h 28,25,,3,,,,
06h 30,29,,3,,,,
06h 39,33,,3,,,,
06h 41,37,,3,,,,
06h 44,43,,3,,,,
06h 46,34,,3,1,,,
07h 03,63,,3,,1,,
07h 18,77,,3,,,,
07h 22,76,,3,,,,
23h 19,54,,3,,,,
